# time  xt  vt  xtrue  vtrue  Et  dE/T  t/T
0.14  2.8763  -0.34146  2.6256  -1.3298  19.335  2.0094e-11  0.069788
0.141  2.876  -0.34403  2.6218  -1.3387  19.335  2.015e-11  0.070287
0.142  2.8756  -0.34661  2.6179  -1.3475  19.335  2.0202e-11  0.070785
0.143  2.8753  -0.34919  2.614  -1.3564  19.335  2.0253e-11  0.071284
0.144  2.8749  -0.35177  2.61  -1.3652  19.335  2.03e-11  0.071782
0.145  2.8746  -0.35436  2.606  -1.3741  19.335  2.0344e-11  0.072281
0.146  2.8742  -0.35695  2.602  -1.3829  19.335  2.0386e-11  0.072779
0.147  2.8738  -0.35954  2.598  -1.3917  19.335  2.0424e-11  0.073278
0.148  2.8735  -0.36214  2.594  -1.4004  19.335  2.046e-11  0.073776
0.149  2.8731  -0.36474  2.5899  -1.4092  19.335  2.0493e-11  0.074275
0.15  2.8728  -0.36734  2.5858  -1.418  19.335  2.0522e-11  0.074773
0.151  2.8724  -0.36995  2.5817  -1.4267  19.335  2.0548e-11  0.075272
0.152  2.872  -0.37256  2.5775  -1.4354  19.335  2.0571e-11  0.07577
0.153  2.8716  -0.37518  2.5733  -1.4441  19.335  2.0591e-11  0.076269
0.154  2.8713  -0.37779  2.5691  -1.4528  19.335  2.0607e-11  0.076767
0.155  2.8709  -0.38042  2.5649  -1.4615  19.335  2.062e-11  0.077266
0.156  2.8705  -0.38304  2.5607  -1.4702  19.335  2.063e-11  0.077764
0.157  2.8701  -0.38567  2.5564  -1.4788  19.335  2.0636e-11  0.078263
0.158  2.8697  -0.3883  2.5521  -1.4875  19.335  2.0638e-11  0.078761
0.159  2.8693  -0.39094  2.5478  -1.4961  19.335  2.0637e-11  0.07926
0.16  2.869  -0.39358  2.5434  -1.5047  19.335  2.0632e-11  0.079758
0.161  2.8686  -0.39622  2.539  -1.5133  19.335  2.0623e-11  0.080257
0.162  2.8682  -0.39887  2.5346  -1.5219  19.335  2.061e-11  0.080755
0.163  2.8678  -0.40152  2.5302  -1.5305  19.335  2.0594e-11  0.081254
0.164  2.8674  -0.40417  2.5258  -1.539  19.335  2.0574e-11  0.081752
0.165  2.867  -0.40683  2.5213  -1.5476  19.335  2.0549e-11  0.082251
0.166  2.8665  -0.40949  2.5168  -1.5561  19.335  2.0521e-11  0.082749
0.167  2.8661  -0.41216  2.5123  -1.5646  19.335  2.0488e-11  0.083247
0.168  2.8657  -0.41483  2.5077  -1.5731  19.335  2.0451e-11  0.083746
0.169  2.8653  -0.41751  2.5031  -1.5815  19.335  2.041e-11  0.084244
0.17  2.8649  -0.42018  2.4985  -1.59  19.335  2.0364e-11  0.084743
0.171  2.8645  -0.42287  2.4939  -1.5985  19.335  2.0314e-11  0.085241
0.172  2.864  -0.42555  2.4893  -1.6069  19.335  2.0259e-11  0.08574
0.173  2.8636  -0.42824  2.4846  -1.6153  19.335  2.02e-11  0.086238
0.174  2.8632  -0.43094  2.4799  -1.6237  19.335  2.0136e-11  0.086737
0.175  2.8627  -0.43363  2.4752  -1.6321  19.335  2.0068e-11  0.087235
0.176  2.8623  -0.43634  2.4704  -1.6404  19.335  1.9994e-11  0.087734
0.177  2.8619  -0.43904  2.4657  -1.6488  19.335  1.9916e-11  0.088232
0.178  2.8614  -0.44175  2.4609  -1.6571  19.335  1.9833e-11  0.088731
0.179  2.861  -0.44447  2.456  -1.6654  19.335  1.9744e-11  0.089229
0.18  2.8605  -0.44719  2.4512  -1.6737  19.335  1.9651e-11  0.089728
0.181  2.8601  -0.44991  2.4463  -1.682  19.335  1.9552e-11  0.090226
0.182  2.8596  -0.45264  2.4414  -1.6903  19.335  1.9448e-11  0.090725
0.183  2.8592  -0.45537  2.4365  -1.6985  19.335  1.9338e-11  0.091223
0.184  2.8587  -0.4581  2.4316  -1.7068  19.335  1.9223e-11  0.091722
0.185  2.8583  -0.46084  2.4266  -1.715  19.335  1.9103e-11  0.09222
0.186  2.8578  -0.46359  2.4217  -1.7232  19.335  1.8977e-11  0.092719
0.187  2.8573  -0.46634  2.4166  -1.7314  19.335  1.8845e-11  0.093217
0.188  2.8569  -0.46909  2.4116  -1.7395  19.335  1.8707e-11  0.093716
0.189  2.8564  -0.47185  2.4066  -1.7477  19.335  1.8563e-11  0.094214
0.19  2.8559  -0.47461  2.4015  -1.7558  19.335  1.8414e-11  0.094713
0.191  2.8555  -0.47738  2.3964  -1.7639  19.335  1.8258e-11  0.095211
0.192  2.855  -0.48015  2.3912  -1.772  19.335  1.8096e-11  0.09571
0.193  2.8545  -0.48292  2.3861  -1.7801  19.335  1.7927e-11  0.096208
0.194  2.854  -0.4857  2.3809  -1.7882  19.335  1.7753e-11  0.096707
0.195  2.8535  -0.48849  2.3757  -1.7962  19.335  1.7571e-11  0.097205
0.196  2.853  -0.49128  2.3705  -1.8042  19.335  1.7383e-11  0.097704
0.197  2.8525  -0.49407  2.3653  -1.8123  19.335  1.7189e-11  0.098202
0.198  2.8521  -0.49687  2.36  -1.8202  19.335  1.6988e-11  0.098701
0.199  2.8516  -0.49967  2.3547  -1.8282  19.335  1.6779e-11  0.099199
0.2  2.8511  -0.50248  2.3494  -1.8362  19.335  1.6564e-11  0.099698
0.201  2.8505  -0.50529  2.344  -1.8441  19.335  1.6342e-11  0.1002
0.202  2.85  -0.50811  2.3387  -1.852  19.335  1.6112e-11  0.10069
0.203  2.8495  -0.51093  2.3333  -1.8599  19.335  1.5875e-11  0.10119
0.204  2.849  -0.51376  2.3279  -1.8678  19.335  1.563e-11  0.10169
0.205  2.8485  -0.51659  2.3225  -1.8757  19.335  1.5378e-11  0.10219
0.206  2.848  -0.51943  2.317  -1.8835  19.335  1.5118e-11  0.10269
0.207  2.8475  -0.52227  2.3115  -1.8914  19.335  1.4851e-11  0.10319
0.208  2.8469  -0.52512  2.3061  -1.8992  19.335  1.4575e-11  0.10369
0.209  2.8464  -0.52797  2.3005  -1.907  19.335  1.4292e-11  0.10418
0.21  2.8459  -0.53082  2.295  -1.9147  19.335  1.4e-11  0.10468
0.211  2.8454  -0.53368  2.2894  -1.9225  19.335  1.37e-11  0.10518
0.212  2.8448  -0.53655  2.2838  -1.9302  19.335  1.3392e-11  0.10568
0.213  2.8443  -0.53942  2.2782  -1.9379  19.335  1.3075e-11  0.10618
0.214  2.8437  -0.5423  2.2726  -1.9456  19.335  1.2749e-11  0.10668
0.215  2.8432  -0.54518  2.2669  -1.9533  19.335  1.2415e-11  0.10717
0.216  2.8426  -0.54807  2.2613  -1.961  19.335  1.2071e-11  0.10767
0.217  2.8421  -0.55096  2.2556  -1.9686  19.335  1.1719e-11  0.10817
0.218  2.8415  -0.55386  2.2499  -1.9762  19.335  1.1357e-11  0.10867
0.219  2.841  -0.55676  2.2441  -1.9838  19.335  1.0986e-11  0.10917
0.22  2.8404  -0.55966  2.2383  -1.9914  19.335  1.0606e-11  0.10967
0.221  2.8399  -0.56258  2.2326  -1.999  19.335  1.0216e-11  0.11017
0.222  2.8393  -0.5655  2.2268  -2.0065  19.335  9.8162e-12  0.11066
0.223  2.8387  -0.56842  2.2209  -2.014  19.335  9.4066e-12  0.11116
0.224  2.8382  -0.57135  2.2151  -2.0216  19.335  8.9869e-12  0.11166
0.225  2.8376  -0.57428  2.2092  -2.029  19.335  8.557e-12  0.11216
0.226  2.837  -0.57722  2.2033  -2.0365  19.335  8.1168e-12  0.11266
0.227  2.8364  -0.58016  2.1974  -2.0439  19.335  7.6662e-12  0.11316
