0 0.0 0.0
61 -2.68087 6.13434 4.64206
62 -2.94023 6.67579 3.84234
63 -2.07839 6.57705 4.3398
64 -2.48938 6.48983 5.24726
65 -2.87173 7.41365 5.22863
66 -3.50152 6.87685 5.79006
67 -2.78212 7.25829 6.37055
68 -2.41543 6.34056 6.52327
69 -2.22202 5.5638 7.12263
70 -2.32138 5.34884 8.09418
71 -2.21658 5.68948 9.02852
72 -3.10654 5.65878 9.48353
73 -2.71217 5.85386 8.58552
74 -2.54071 4.89897 8.34307
75 -3.2642 5.53801 8.08193
76 -4.23481 5.75659 7.98124
77 -4.35164 5.24914 7.12751
78 -3.59892 5.10173 6.48589
79 -3.53051 5.97376 6.97054
80 -4.14721 6.05376 6.18742
81 -3.2679 5.67133 6.47124
82 -4.11562 5.77129 6.99218
83 -4.58018 4.9734 6.60805
84 -4.22412 4.04405 6.70565
85 -4.18667 3.67589 5.77665
86 -3.38632 3.84916 6.35059
87 -3.4713 4.70102 5.83376
88 -4.25382 5.24375 6.13889
89 -3.61319 4.47618 6.11837
90 -3.35733 3.51016 6.15508
91 -3.32719 2.60034 5.74117
92 -3.97493 2.70196 6.49622
93 -3.64598 1.94467 5.93204
94 -4.07451 2.83191 5.7612
95 -4.52452 3.71807 5.87167
96 -5.30148 4.21862 6.2535
97 -5.75924 3.7413 5.50342
98 -5.58941 4.71168 5.67521
99 -5.22006 4.95678 4.77882
100 -6.19725 5.14451 4.87807
101 -5.1994 5.12719 4.81492
102 -4.8933 4.81361 5.71379
103 -3.96362 4.57545 5.99484
104 -3.5715 5.31261 5.44453
105 -4.56414 5.1917 5.43709
106 -4.00055 5.70894 4.79301
107 -3.09807 5.80037 5.21394
108 -3.46944 5.12903 5.85534
109 -4.46751 5.09819 5.90916
110 -5.37278 4.80941 6.22078
111 -5.82625 5.59442 5.79873
112 -5.03256 5.74757 6.38747
113 -4.71556 5.81172 5.44122
114 -5.59754 6.08063 5.82826
115 -6.38244 6.69699 5.76475
116 -6.06518 5.79702 6.06377
117 -5.882 5.88864 7.04257
118 -6.59155 6.24102 6.43235
119 -7.24935 5.48818 6.45525
120 -6.72062 4.79541 6.94569
121 -5.79865 4.93748 6.58541
122 -5.23592 5.46356 7.22304
123 -6.04783 4.9188 7.4329
124 -5.33168 5.0789 8.11224
125 -5.38069 4.93153 9.10011
126 -6.31035 4.5882 8.96649
127 -6.11377 4.4536 9.9377
128 -5.21691 4.03429 10.0785
129 -4.26464 3.73495 10.0186
130 -3.33872 3.84509 9.65731
131 -2.76322 3.80087 8.84071
132 -3.24341 3.73762 7.96583
133 -3.78934 4.34217 7.38576
134 -4.50049 4.23408 6.69108
135 -5.33843 3.69421 6.61124
136 -5.91311 4.34528 6.11541
137 -5.28442 4.81213 5.49346
138 -6.15673 4.73079 5.01131
139 -7.08506 4.8557 4.66116
140 -7.86913 4.36169 4.28543
141 -7.66891 4.04338 5.21204
142 -7.98505 4.03028 4.26342
143 -8.85408 4.15188 3.78383
144 -8.86447 3.32294 4.34307
145 -8.06408 3.30585 3.74383
146 -7.20924 3.75015 4.01185
147 -7.10019 2.89373 4.51649
148 -7.90504 3.45764 4.70149
149 -7.76986 2.47938 4.85875
