2615 4 2499
2625 6 2493
2635 3 2490
2645 6 2484
2655 5 2479
2665 5 2474
2675 3 2471
2685 9 2462
2695 5 2457
2705 5 2452
2715 2 2450
2725 6 2444
2735 1 2443
2745 0 2443
2755 12 2431
2765 8 2423
2775 5 2418
2785 7 2411
2795 5 2406
2805 12 2394
2815 5 2389
2825 6 2383
2835 4 2379
2845 5 2374
2855 5 2369
2865 9 2360
2875 9 2351
2885 2 2349
2895 4 2345
2905 5 2340
2915 6 2334
2925 4 2330
2935 9 2321
2945 5 2316
2955 8 2308
2965 11 2297
2975 9 2288
2985 9 2279
2995 5 2274
3005 7 2267
3015 9 2258
3025 2 2256
3035 6 2250
3045 8 2242
3055 8 2234
3065 9 2225
3075 3 2222
3085 9 2213
3095 11 2202
3105 9 2193
3115 7 2186
3125 6 2180
3135 3 2177
3145 3 2174
3155 10 2164
3165 8 2156
3175 4 2152
3185 7 2145
3195 2 2143
3205 3 2140
3215 5 2135
3225 7 2128
3235 3 2125
3245 6 2119
3255 10 2109
3265 3 2106
3275 9 2097
3285 4 2093
3295 7 2086
3305 6 2080
3315 6 2074
3325 8 2066
3335 7 2059
3345 3 2056
3355 6 2050
3365 7 2043
3375 8 2035
3385 5 2030
3395 8 2022
3405 5 2017
3415 5 2012
3425 10 2002
3435 7 1995
3445 7 1988
3455 11 1977
3465 10 1967
3475 4 1963
3485 3 1960
3495 5 1955
3505 7 1948
3515 5 1943
3525 5 1938
3535 5 1933
3545 10 1923
3555 8 1915
3565 3 1912
3575 7 1905
3585 6 1899
3595 7 1892
3605 6 1886
3615 3 1883
3625 6 1877
3635 3 1874
3645 8 1866
3655 2 1864
3665 7 1857
3675 3 1854
3685 3 1851
3695 1 1850
3705 2 1848
3715 5 1843
3725 6 1837
3735 8 1829
3745 4 1825
3755 8 1817
3765 4 1813
3775 9 1804
3785 9 1795
3795 5 1790
3805 5 1785
3815 7 1778
3825 6 1772
3835 5 1767
3845 6 1761
3855 5 1756
3865 6 1750
3875 6 1744
3885 3 1741
3895 3 1738
3905 6 1732
3915 2 1730
3925 3 1727
3935 7 1720
3945 8 1712
3955 4 1708
3965 3 1705
3975 6 1699
3985 7 1692
3995 3 1689
4005 9 1680
4015 4 1676
4025 5 1671
4035 5 1666
4045 5 1661
4055 6 1655
4065 4 1651
4075 4 1647
4085 6 1641
4095 6 1635
4105 4 1631
4115 8 1623
4125 4 1619
4135 5 1614
4145 7 1607
4155 7 1600
4165 5 1595
4175 3 1592
4185 2 1590
4195 5 1585
4205 7 1578
4215 4 1574
4225 10 1564
4235 5 1559
4245 8 1551
4255 4 1547
4265 4 1543
4275 5 1538
4285 7 1531
4295 3 1528
4305 5 1523
4315 4 1519
4325 1 1518
4335 3 1515
4345 1 1514
4355 3 1511
4365 6 1505
4375 6 1499
4385 5 1494
4395 1 1493
4405 3 1490
4415 7 1483
4425 3 1480
4435 3 1477
4445 9 1468
4455 2 1466
4465 3 1463
4475 2 1461
4485 5 1456
4495 3 1453
4505 5 1448
4515 2 1446
4525 6 1440
4535 4 1436
4545 2 1434
4555 5 1429
4565 5 1424
4575 1 1423
4585 6 1417
4595 3 1414
4605 4 1410
4615 5 1405
4625 8 1397
4635 3 1394
4645 2 1392
4655 6 1386
4665 4 1382
4675 4 1378
4685 4 1374
4695 2 1372
4705 1 1371
4715 4 1367
4725 8 1359
4735 4 1355
4745 7 1348
4755 3 1345
4765 0 1345
4775 2 1343
4785 6 1337
4795 7 1330
4805 5 1325
4815 5 1320
4825 2 1318
4835 2 1316
4845 4 1312
4855 5 1307
4865 2 1305
4875 4 1301
4885 3 1298
4895 1 1297
4905 5 1292
4915 1 1291
4925 4 1287
4935 4 1283
4945 3 1280
4955 2 1278
4965 1 1277
4975 7 1270
4985 4 1266
4995 4 1262
5005 7 1255
5015 1 1254
5025 5 1249
5035 2 1247
5045 6 1241
5055 1 1240
5065 5 1235
5075 4 1231
5085 6 1225
5095 4 1221
5105 5 1216
5115 5 1211
5125 6 1205
5135 5 1200
5145 4 1196
5155 3 1193
5165 3 1190
5175 2 1188
5185 3 1185
5195 0 1185
5205 2 1183
5215 5 1178
5225 3 1175
5235 4 1171
5245 3 1168
5255 1 1167
5265 3 1164
5275 3 1161
5285 7 1154
5295 5 1149
5305 2 1147
5315 4 1143
5325 3 1140
5335 6 1134
5345 3 1131
5355 4 1127
5365 1 1126
5375 4 1122
5385 4 1118
5395 5 1113
5405 6 1107
5415 1 1106
5425 4 1102
5435 2 1100
5445 4 1096
5455 2 1094
5465 1 1093
5475 0 1093
5485 3 1090
5495 5 1085
5505 3 1082
5515 4 1078
5525 4 1074
