i	t	sum
348	-5.95824	1.54715e-26
349	-5.95812	1.57329e-26
350	-5.958	1.59977e-26
351	-5.95788	1.62656e-26
352	-5.95776	1.65361e-26
353	-5.95764	1.68089e-26
354	-5.95752	1.70835e-26
355	-5.9574	1.73595e-26
356	-5.95728	1.76366e-26
357	-5.95716	1.79142e-26
358	-5.95704	1.81921e-26
359	-5.95692	1.84697e-26
360	-5.9568	1.87467e-26
361	-5.95668	1.90226e-26
362	-5.95656	1.92971e-26
363	-5.95644	1.95698e-26
364	-5.95632	1.98403e-26
365	-5.9562	2.01083e-26
366	-5.95608	2.03733e-26
367	-5.95596	2.0635e-26
368	-5.95584	2.08931e-26
369	-5.95572	2.11472e-26
370	-5.9556	2.13971e-26
371	-5.95548	2.16424e-26
372	-5.95536	2.18828e-26
373	-5.95524	2.21182e-26
374	-5.95512	2.23481e-26
375	-5.955	2.25724e-26
376	-5.95488	2.27909e-26
377	-5.95476	2.30033e-26
378	-5.95464	2.32095e-26
379	-5.95452	2.34093e-26
380	-5.9544	2.36025e-26
381	-5.95428	2.37891e-26
382	-5.95416	2.39689e-26
383	-5.95404	2.41418e-26
384	-5.95392	2.43077e-26
385	-5.9538	2.44666e-26
386	-5.95368	2.46184e-26
387	-5.95356	2.47632e-26
388	-5.95344	2.49008e-26
389	-5.95332	2.50314e-26
390	-5.9532	2.5155e-26
391	-5.95308	2.52716e-26
392	-5.95296	2.53813e-26
393	-5.95284	2.54842e-26
394	-5.95272	2.55803e-26
395	-5.9526	2.56699e-26
396	-5.95248	2.5753e-26
397	-5.95236	2.58298e-26
398	-5.95224	2.59004e-26
399	-5.95212	2.59651e-26
400	-5.952	2.60239e-26
401	-5.95188	2.60773e-26
402	-5.95176	2.61253e-26
403	-5.95164	2.61681e-26
404	-5.95152	2.62061e-26
405	-5.9514	2.62395e-26
406	-5.95128	2.62685e-26
407	-5.95116	2.62935e-26
408	-5.95104	2.63146e-26
409	-5.95092	2.63323e-26
410	-5.9508	2.63467e-26
411	-5.95068	2.63583e-26
412	-5.95056	2.63672e-26
413	-5.95044	2.63739e-26
414	-5.95032	2.63787e-26
415	-5.9502	2.63818e-26
416	-5.95008	2.63837e-26
417	-5.94996	2.63846e-26
418	-5.94984	2.6385e-26
419	-5.94972	2.6385e-26
420	-5.9496	2.63851e-26
421	-5.94948	2.63857e-26
422	-5.94936	2.6387e-26
423	-5.94924	2.63895e-26
424	-5.94912	2.63934e-26
425	-5.949	2.6399e-26
426	-5.94888	2.64069e-26
427	-5.94876	2.64172e-26
428	-5.94864	2.64303e-26
429	-5.94852	2.64466e-26
430	-5.9484	2.64663e-26
431	-5.94828	2.64899e-26
432	-5.94816	2.65175e-26
433	-5.94804	2.65497e-26
434	-5.94792	2.65865e-26
435	-5.9478	2.66285e-26
436	-5.94768	2.66758e-26
437	-5.94756	2.67288e-26
438	-5.94744	2.67878e-26
439	-5.94732	2.6853e-26
440	-5.9472	2.69247e-26
441	-5.94708	2.70032e-26
442	-5.94696	2.70888e-26
443	-5.94684	2.71817e-26
444	-5.94672	2.72821e-26
445	-5.9466	2.73904e-26
446	-5.94648	2.75067e-26
447	-5.94636	2.76313e-26
448	-5.94624	2.77644e-26
449	-5.94612	2.79062e-26
