# i	Trapez	Simpson
985	0.914021194	0.889311612
987	0.876416862	0.89826113
989	0.834856391	0.809753299
991	0.879216015	0.91047734
993	0.912069738	0.889461994
995	0.861080229	0.892577887
997	0.837842643	0.815350115
999	0.892759025	0.91389519
1001	0.903374016	0.882129908
1003	0.845486164	0.853978515
1005	0.847344041	0.835964143
1007	0.903660893	0.904427588
1009	0.88704747	0.892962873
1011	0.834261537	0.828848124
1013	0.863778949	0.883371711
1015	0.907647252	0.891001344
1017	0.865479589	0.888593256
1019	0.833376825	0.804566503
1021	0.88457334	0.907316983
1023	0.901251435	0.870846748
1025	0.84551543	0.870394111
1027	0.847238243	0.826969743
1029	0.90323019	0.926340282
1031	0.884326994	0.87460804
1033	0.836629927	0.846086621
1035	0.873817742	0.870478272
1037	0.910061955	0.901580572
1039	0.861819923	0.869002402
1041	0.845281899	0.827686489
1043	0.90093118	0.923834324
1045	0.896918356	0.876657307
1047	0.843461037	0.873529017
1049	0.868509054	0.843116164
1051	0.910562515	0.933973014
1053	0.866620004	0.840209126
1055	0.841284215	0.856348634
1057	0.893623173	0.880335152
1059	0.893671393	0.902785599
1061	0.839601219	0.843587577
1063	0.862596035	0.858015418
1065	0.905239999	0.917699158
1067	0.86277926	0.840678215
1069	0.841712058	0.860835433
1071	0.896090806	0.86926806
1073	0.892902076	0.921001375
1075	0.842872977	0.821314275
1077	0.873308182	0.898332417
1079	0.908813775	0.890649259
1081	0.860333741	0.869404078
1083	0.849498749	0.840945959
1085	0.901482165	0.898794949
1087	0.881620169	0.892730474
1089	0.838143408	0.826504827
1091	0.87996918	0.902378857
1093	0.898837924	0.873592257
1095	0.847038805	0.869342089
1097	0.859896481	0.831803977
1099	0.906577587	0.929721236
1101	0.869016409	0.85329771
1103	0.847049475	0.862728715
1105	0.898330092	0.892922163
1107	0.887950242	0.883769393
1109	0.841137171	0.847154498
1111	0.877877831	0.861593127
1113	0.898760974	0.921881378
1115	0.847676516	0.826593935
1117	0.860339105	0.886744261
1119	0.904807866	0.878301382
1121	0.865629673	0.883542717
1123	0.849994361	0.833005071
1125	0.900696754	0.911790013
1127	0.881274402	0.882818818
1129	0.842187107	0.837035775
1131	0.885864317	0.89731729
1133	0.891868114	0.869690001
1135	0.843472242	0.86600554
1137	0.873188674	0.850271523
1139	0.902356803	0.929295003
1141	0.854274035	0.833539665
1143	0.862058103	0.875365734
1145	0.903615832	0.892457604
1147	0.862667203	0.863753438
1149	0.849546432	0.859354019
1151	0.89843142	0.886100233
1153	0.874083281	0.893324018
1155	0.846304715	0.819806993
1157	0.894797266	0.918035686
1159	0.886006236	0.864518106
1161	0.844694138	0.866204917
1163	0.884532392	0.872702539
1165	0.890892506	0.893507481
1167	0.844598114	0.84584862
1169	0.876659036	0.865589082
1171	0.898330033	0.91882658
1173	0.850866854	0.829838991
1175	0.870142817	0.893141329
1177	0.899868608	0.874077916
1179	0.853010416	0.872245431
1181	0.861741781	0.850493491
1183	0.90068382	0.908110142
1185	0.859973311	0.861890376
1187	0.859304547	0.845899224
1189	0.901313126	0.918469667
1191	0.863557994	0.843200564
1193	0.853371918	0.879346132
1195	0.898407519	0.874830306
1197	0.868012309	0.884172976
1199	0.853124499	0.840621591
1201	0.898949206	0.904592454
1203	0.871436596	0.878225684
1205	0.849841475	0.835841179
1207	0.895354033	0.912444472
1209	0.873325825	0.849948168
1211	0.850588262	0.876291096
1213	0.896246076	0.876668096
1215	0.875532627	0.889646113
1217	0.848942816	0.83917737
1219	0.893390417	0.892630756
1221	0.875509381	0.887346625
1223	0.85035032	0.834093511
1225	0.89500314	0.915041387
1227	0.875947595	0.850936532
1229	0.849389613	0.872310281
1231	0.893298805	0.878309011
1233	0.874763429	0.883982182
1235	0.851650953	0.848946035
1237	0.895407915	0.886691809
1239	0.873054266	0.890761018
1241	0.851202905	0.831133068
1243	0.894893467	0.916778207
1245	0.871231794	0.84794569
1247	0.854618967	0.872242689
1249	0.896546483	0.889073014
1251	0.867215931	0.867275834
1253	0.855507731	0.862398982
1255	0.897062361	0.880365312
1257	0.865054667	0.888215661
1259	0.859929502	0.837707102
1261	0.896716535	0.915997863
1263	0.85971868	0.843384147
1265	0.863683999	0.872030675
1267	0.897166908	0.900714517
1269	0.857080996	0.845066309
1271	0.868514955	0.885126531
1273	0.89389801	0.8723737
1275	0.853278339	0.877258718
1277	0.875529706	0.8564803
1279	0.891461849	0.901658058
1281	0.850598872	0.847748876
1283	0.880668342	0.875786483
1285	0.886020899	0.900969505
1287	0.851160824	0.829071403
1289	0.887506962	0.909713745
1291	0.878529787	0.859607041
1293	0.851965904	0.867118716
1295	0.89263624	0.884824574
1297	0.871681511	0.867927015
1299	0.856755853	0.870427728
1301	0.894409418	0.876025081
1303	0.863017023	0.883723259
1305	0.864560485	0.842858851
1307	0.894733906	0.912275076
1309	0.85585779	0.848294914
1311	0.872666538	0.869826257
1313	0.890540421	0.900818765
1315	0.85279721	0.836143792
1317	0.882244647	0.904413223
1319	0.88190186	0.859356523
1321	0.852711916	0.868829012
1323	0.890625775	0.883518159
1325	0.872245073	0.871265411
1327	0.857327402	0.866585195
1329	0.893811822	0.875835359
1331	0.862461686	0.885383368
1333	0.867334366	0.846409082
1335	0.891722918	0.90617764
1337	0.854559362	0.84739387
1339	0.878921628	0.87780869
1341	0.884786904	0.895964563
1343	0.852783978	0.833064437
1345	0.888189197	0.910482466
1347	0.873400927	0.854435205
1349	0.858645201	0.871740699
1351	0.892740965	0.886893451
1353	0.861239254	0.857450247
1355	0.869689345	0.883947968
1357	0.890261471	0.869330645
1359	0.854075372	0.875290573
1361	0.88187623	0.864883125
1363	0.880227387	0.89098841
1365	0.855577409	0.853112698
1367	0.890591502	0.882589877
1369	0.866511822	0.883975923
1371	0.865198553	0.843542695
1373	0.891364872	0.911061645
1375	0.856146455	0.842081726
1377	0.878617108	0.885262549
1379	0.882658064	0.885281026
1381	0.855118811	0.842333496
1383	0.889189303	0.909407735
1385	0.868401349	0.846878231
1387	0.864465117	0.881391585
1389	0.890672803	0.881388307
1391	0.856929779	0.857534528
1393	0.879020929	0.887683749
1395	0.881384194	0.864218414
1397	0.855923593	0.877579093
1399	0.889719129	0.870086968
1401	0.86662823	0.87868607
1403	0.866743088	0.864411175
1405	0.889020324	0.882164896
1407	0.856511712	0.871094942
1409	0.882188737	0.862352073
1411	0.87677747	0.897234142
1413	0.858932436	0.843979478
1415	0.890730143	0.895511329
1417	0.86182344	0.867989063
1419	0.872678876	0.858234644
1421	0.885154426	0.903961897
1423	0.856262684	0.837042034
1425	0.886782587	0.902107656
1427	0.869559586	0.862614274
1429	0.865408719	0.861175478
1431	0.888778329	0.903193474
1433	0.857420146	0.837518811
1435	0.881662071	0.901068866
1437	0.876289189	0.862191379
1439	0.860236168	0.866113365
1441	0.889834702	0.893548191
1443	0.860902369	0.847885132
1445	0.875740588	0.895169139
1447	0.881417274	0.861145139
1449	0.85825032	0.872956574
1451	0.88833648	0.883628845
1453	0.864585161	0.858517468
1455	0.871679664	0.88609606
1457	0.884308934	0.865625858
1459	0.857461631	0.875804126
1461	0.886811852	0.873500943
1463	0.867726445	0.871962845
1465	0.868400872	0.87513864
1467	0.886159897	0.870106041
1469	0.857783377	0.878071725
1471	0.884817958	0.866814911
1473	0.87007761	0.880462885
1475	0.866874635	0.866616905
1477	0.886456847	0.877032876
1479	0.858377755	0.874767721
1481	0.883926988	0.864886165
1483	0.870846927	0.887249053
1485	0.866411209	0.857760131
1487	0.886601329	0.884368002
1489	0.858520746	0.871245682
1491	0.883672059	0.864606142
1493	0.870949626	0.890028834
1495	0.866662085	0.853611052
1497	0.886060357	0.88939023
1499	0.858916938	0.86585623
1501	0.883910775	0.868998349
1503	0.869869411	0.888420045
1505	0.868250549	0.85143286
1507	0.884752274	0.894655108
1509	0.859184563	0.85962534
1511	0.885015666	0.873986721
1513	0.867684662	0.885871112
1515	0.870713234	0.851482034
1517	0.882930696	0.89667058
1519	0.859648407	0.855909109
1521	0.886180639	0.878982186
1523	0.865142167	0.880574644
1525	0.873933971	0.855410099
1527	0.880011737	0.895780563
1529	0.861243546	0.85308069
1531	0.886615813	0.884626269
1533	0.862574458	0.874232888
1535	0.877996981	0.860259891
1537	0.875675023	0.893722951
1539	0.864417017	0.852231801
1541	0.88575995	0.887704849
1543	0.860665619	0.86980027
1545	0.882231712	0.865188897
1547	0.870345354	0.889230728
1549	0.869260192	0.855208278
1551	0.882900059	0.887286603
1553	0.860633552	0.867222726
1555	0.885260522	0.870216906
1557	0.865063846	0.883245885
1559	0.875377953	0.860279262
1561	0.87759465	0.884538651
1563	0.863614976	0.867123485
1565	0.885500848	0.872743666
1567	0.861521244	0.879181564
1569	0.881408989	0.864975214
1571	0.870582461	0.879956245
1573	0.869796991	0.870959818
1575	0.88180244	0.870361626
1577	0.86168921	0.879355252
1579	0.884938955	0.867511928
1581	0.864138663	0.874839365
1583	0.877627552	0.877681315
1585	0.874491274	0.863686621
1587	0.866688848	0.884164333
1589	0.883511901	0.865969539
1591	0.86157459	0.872594595
1593	0.883664906	0.883244038
1595	0.866312444	0.85609901
1597	0.875186741	0.892079294
1599	0.876604319	0.859452426
1601	0.865317523	0.876297712
1603	0.883966208	0.883213341
1605	0.861960769	0.8523013
1607	0.882717371	0.899057567
1609	0.867440045	0.850638509
1611	0.874233782	0.885124385
1613	0.877159178	0.876301765
1615	0.865234852	0.85574919
1617	0.883695304	0.899864137
1619	0.862349033	0.845732033
1621	0.882485986	0.893093288
1623	0.867306292	0.866855681
1625	0.874806583	0.864896417
1627	0.876224756	0.892624259
1629	0.86629039	0.84987849
1631	0.882843852	0.892733991
1633	0.862677634	0.863283277
1635	0.882900596	0.872010887
1637	0.866062939	0.882874727
1639	0.876738906	0.860800624
1641	0.873906851	0.88249439
1643	0.868559301	0.870841205
1645	0.881090164	0.868858099
1647	0.863481343	0.880650163
1649	0.883313298	0.868282855
1651	0.864378214	0.871052623
1653	0.879526973	0.883978605
1655	0.870390534	0.856666088
1657	0.872242033	0.889502108
1659	0.877843559	0.864280939
1661	0.865726292	0.869897604
1663	0.882524729	0.889495015
1665	0.863488674	0.848340333
1667	0.882083237	0.898972213
1669	0.866481066	0.855035245
1671	0.877025008	0.87815094
1673	0.872864664	0.882520974
1675	0.870191038	0.853917539
1677	0.879235744	0.895103931
1679	0.86507225	0.85645771
1681	0.882498324	0.880140901
1683	0.864027739	0.876301229
1685	0.881263494	0.864445865
1687	0.867307723	0.881306291
1689	0.876391292	0.871345341
1691	0.873168051	0.867071688
1693	0.8702631	0.884780407
1695	0.878861427	0.862376094
1697	0.865609586	0.876738071
1699	0.881982267	0.881148219
1701	0.864313841	0.854513884
1703	0.881383538	0.897378206
1705	0.866684377	0.851711929
1707	0.877550006	0.884750605
1709	0.871547341	0.875348389
1711	0.872171879	0.859143496
1713	0.876884997	0.893159509
1715	0.86737746	0.85531646
1717	0.880698442	0.883027911
1719	0.864872992	0.873307645
1721	0.881717145	0.866459787
1723	0.86538285	0.880349338
1725	0.879780889	0.872073293
1727	0.868527114	0.865392685
1729	0.875737906	0.888207555
1731	0.873097062	0.857185185
1733	0.871029735	0.882861912
1735	0.87755394	0.875408947
1737	0.867181003	0.858623385
1739	0.880523741	0.895696938
1741	0.865276992	0.850747228
1743	0.881251752	0.888169706
1745	0.865736544	0.869769633
1747	0.879692852	0.866629601
1749	0.868252814	0.884054363
1751	0.876431525	0.865532994
1753	0.872000575	0.872705042
1755	0.872464299	0.882314265
1757	0.8759197	0.860293865
1759	0.868842542	0.882636011
1761	0.8790223	0.873798072
1763	0.866422653	0.860537708
1765	0.880638778	0.894721866
1767	0.865674675	0.850348771
1769	0.880512714	0.889524698
1771	0.866633594	0.868365347
1773	0.878809094	0.867259741
1775	0.868953586	0.884495854
1777	0.87601608	0.864292383
1779	0.872050524	0.874076128
1781	0.872783065	0.881428361
1783	0.875249207	0.860379636
1785	0.869773209	0.88326019
1787	0.877943039	0.872740388
1789	0.86751467	0.86175853
1791	0.879685223	0.893443167
1793	0.86634022	0.851668417
1795	0.880263269	0.888265252
1797	0.866355002	0.869177282
1799	0.879684389	0.867474854
1801	0.867444813	0.882734954
1803	0.878151894	0.867711306
1805	0.869347811	0.869526982
1807	0.875973225	0.886117101
1809	0.871711791	0.856582761
1811	0.873508692	0.885673463
1813	0.874171615	0.87134856
1815	0.871132314	0.863184094
1817	0.876397431	0.890825391
1819	0.869119763	0.855951011
1821	0.878142178	0.882991672
1823	0.867687166	0.873758018
1825	0.879250169	0.865539312
1827	0.866924942	0.880877733
1829	0.879660904	0.873021066
1831	0.866856873	0.862563848
1833	0.879407704	0.89232105
1835	0.867402494	0.852862954
1837	0.878592491	0.886875033
1839	0.868451655	0.870901346
1841	0.877349854	0.86556077
1843	0.869849265	0.884460151
1845	0.875834644	0.866465628
1847	0.871440768	0.870416701
1849	0.874202132	0.885008335
1851	0.873076916	0.858552933
1853	0.872598827	0.882704735
1855	0.874628246	0.874620557
1857	0.871122122	0.86099869
1859	0.875999868	0.890591025
1861	0.869865239	0.858994365
1863	0.87713474	0.878190637
1865	0.868872941	0.878192008
1867	0.8779791	0.863602221
1869	0.868167162	0.879420638
1871	0.8785429	0.876810074
1873	0.867747545	0.859021902
1875	0.878826082	0.892957985
1877	0.867592275	0.856227875
1879	0.878866434	0.880879402
1881	0.867669404	0.876192868
1883	0.878687799	0.864545345
1885	0.867938042	0.879521966
1887	0.878337085	0.876011968
1889	0.868360579	0.860119045
1891	0.87785691	0.891796112
1893	0.868884623	0.857443631
1895	0.877290606	0.879506946
1897	0.869480848	0.877768099
1899	0.876674056	0.862810791
1901	0.870110929	0.881312668
1903	0.876034558	0.874166727
1905	0.870741189	0.862156987
1907	0.875403404	0.889326513
1909	0.871364653	0.860404789
1911	0.874806166	0.876281261
1913	0.871954203	0.880792141
1915	0.87423569	0.860475183
1917	0.872493804	0.882816613
1919	0.873720706	0.873113751
1921	0.872984231	0.863497794
1923	0.873257637	0.887076318
1925	0.873418629	0.863680422
1927	0.872851372	0.872589588
1929	0.873795927	0.88385278
1931	0.872505128	0.858863711
1933	0.874119222	0.882921934
1935	0.872210145	0.873668492
1937	0.874376416	0.863579214
1939	0.871979892	0.885396779
1941	0.874585867	0.866904497
1943	0.871795893	0.868961215
1945	0.874741912	0.88630861
1947	0.871666193	0.858615041
1949	0.874850392	0.881213129
1951	0.87157768	0.875868022
1953	0.874913335	0.862721205
1955	0.871540189	0.883886755
1957	0.874934673	0.870280862
1959	0.871537685	0.865535915
1961	0.874914467	0.887750864
1963	0.871575356	0.860075474
1965	0.874852479	0.877691329
1967	0.871650934	0.879242063
1969	0.874757588	0.861669838
1971	0.871769428	0.881887972
1973	0.874623895	0.874027312
1975	0.871926963	0.862610817
1977	0.874449313	0.887647569
1979	0.872119963	0.863597989
1981	0.87423712	0.872576892
1983	0.872351348	0.883054674
1985	0.873990059	0.861295581
1987	0.872617304	0.878948033
1989	0.873707712	0.877915502
1991	0.872916162	0.860940099
1993	0.873383343	0.885232449
1995	0.873249769	0.869338095
1997	0.873037815	0.866460562
1999	0.873612106	0.88624686
2001	0.872660637	0.862420857
2003	0.874007583	0.874997377
2005	0.872255385	0.881177068
2007	0.874414146	0.861557961
2009	0.871840954	0.880006671
2011	0.874833941	0.876822948
2013	0.871420264	0.860671043
2015	0.875256538	0.887450516
2017	0.8710078	0.865658641
2019	0.875661194	0.870524585
2021	0.870614648	0.882734299
2023	0.876031935	0.865198255
2025	0.87026298	0.872422993
2027	0.876353979	0.884302258
2029	0.869975209	0.857420146
2031	0.876604319	0.885101855
2033	0.869765043	0.871192575
2035	0.876766086	0.866414189
2037	0.869661391	0.881755173
2039	0.876819074	0.871377826
2041	0.869667649	0.864700139
2043	0.876738966	0.888623118
2045	0.869817019	0.859340966
2047	0.876523316	0.878260076
2049	0.870105267	0.87830174
2051	0.876159191	0.863823473
2053	0.870546281	0.878314853
2055	0.875650525	0.877932668
