i	t	sum
330	-5.9604	4.68911e-24
331	-5.96028	4.74844e-24
332	-5.96016	4.81093e-24
333	-5.96004	4.87653e-24
334	-5.95992	4.94522e-24
335	-5.9598	5.01695e-24
336	-5.95968	5.09166e-24
337	-5.95956	5.16929e-24
338	-5.95944	5.24977e-24
339	-5.95932	5.333e-24
340	-5.9592	5.4189e-24
341	-5.95908	5.50737e-24
342	-5.95896	5.59829e-24
343	-5.95884	5.69156e-24
344	-5.95872	5.78705e-24
345	-5.9586	5.88464e-24
346	-5.95848	5.98418e-24
347	-5.95836	6.08555e-24
348	-5.95824	6.18858e-24
349	-5.95812	6.29315e-24
350	-5.958	6.39909e-24
351	-5.95788	6.50624e-24
352	-5.95776	6.61445e-24
353	-5.95764	6.72356e-24
354	-5.95752	6.83341e-24
355	-5.9574	6.94382e-24
356	-5.95728	7.05464e-24
357	-5.95716	7.16569e-24
358	-5.95704	7.27683e-24
359	-5.95692	7.38787e-24
360	-5.9568	7.49866e-24
361	-5.95668	7.60904e-24
362	-5.95656	7.71885e-24
363	-5.95644	7.82794e-24
364	-5.95632	7.93614e-24
365	-5.9562	8.04332e-24
366	-5.95608	8.14932e-24
367	-5.95596	8.254e-24
368	-5.95584	8.35724e-24
369	-5.95572	8.4589e-24
370	-5.9556	8.55884e-24
371	-5.95548	8.65696e-24
372	-5.95536	8.75314e-24
373	-5.95524	8.84727e-24
374	-5.95512	8.93924e-24
375	-5.955	9.02896e-24
376	-5.95488	9.11635e-24
377	-5.95476	9.20132e-24
378	-5.95464	9.2838e-24
379	-5.95452	9.36372e-24
380	-5.9544	9.44102e-24
381	-5.95428	9.51564e-24
382	-5.95416	9.58755e-24
383	-5.95404	9.6567e-24
384	-5.95392	9.72307e-24
385	-5.9538	9.78663e-24
386	-5.95368	9.84736e-24
387	-5.95356	9.90526e-24
388	-5.95344	9.96033e-24
389	-5.95332	1.00126e-23
390	-5.9532	1.0062e-23
391	-5.95308	1.01086e-23
392	-5.95296	1.01525e-23
393	-5.95284	1.01937e-23
394	-5.95272	1.02321e-23
395	-5.9526	1.0268e-23
396	-5.95248	1.03012e-23
397	-5.95236	1.03319e-23
398	-5.95224	1.03602e-23
399	-5.95212	1.0386e-23
400	-5.952	1.04096e-23
401	-5.95188	1.04309e-23
402	-5.95176	1.04501e-23
403	-5.95164	1.04672e-23
404	-5.95152	1.04824e-23
405	-5.9514	1.04958e-23
406	-5.95128	1.05074e-23
407	-5.95116	1.05174e-23
408	-5.95104	1.05258e-23
409	-5.95092	1.05329e-23
410	-5.9508	1.05387e-23
411	-5.95068	1.05433e-23
412	-5.95056	1.05469e-23
413	-5.95044	1.05496e-23
414	-5.95032	1.05515e-23
415	-5.9502	1.05527e-23
416	-5.95008	1.05535e-23
417	-5.94996	1.05539e-23
418	-5.94984	1.0554e-23
419	-5.94972	1.0554e-23
420	-5.9496	1.05541e-23
421	-5.94948	1.05543e-23
422	-5.94936	1.05548e-23
423	-5.94924	1.05558e-23
424	-5.94912	1.05573e-23
425	-5.949	1.05596e-23
426	-5.94888	1.05627e-23
427	-5.94876	1.05669e-23
428	-5.94864	1.05721e-23
429	-5.94852	1.05786e-23
430	-5.9484	1.05865e-23
431	-5.94828	1.05959e-23
432	-5.94816	1.0607e-23
433	-5.94804	1.06199e-23
434	-5.94792	1.06346e-23
435	-5.9478	1.06514e-23
436	-5.94768	1.06703e-23
437	-5.94756	1.06915e-23
438	-5.94744	1.07151e-23
439	-5.94732	1.07412e-23
440	-5.9472	1.07699e-23
441	-5.94708	1.08013e-23
442	-5.94696	1.08355e-23
443	-5.94684	1.08727e-23
444	-5.94672	1.09128e-23
445	-5.9466	1.09562e-23
446	-5.94648	1.10027e-23
447	-5.94636	1.10525e-23
448	-5.94624	1.11058e-23
449	-5.94612	1.11625e-23
450	-5.946	1.12228e-23
451	-5.94588	1.12867e-23
452	-5.94576	1.13543e-23
453	-5.94564	1.14258e-23
454	-5.94552	1.15011e-23
455	-5.9454	1.15803e-23
456	-5.94528	1.16636e-23
457	-5.94516	1.17509e-23
458	-5.94504	1.18423e-23
459	-5.94492	1.19378e-23
460	-5.9448	1.20376e-23
461	-5.94468	1.21417e-23
462	-5.94456	1.225e-23
463	-5.94444	1.23628e-23
464	-5.94432	1.24799e-23
465	-5.9442	1.26014e-23
466	-5.94408	1.27274e-23
467	-5.94396	1.28579e-23
468	-5.94384	1.29929e-23
469	-5.94372	1.31325e-23
470	-5.9436	1.32767e-23
471	-5.94348	1.34254e-23
472	-5.94336	1.35788e-23
473	-5.94324	1.37368e-23
474	-5.94312	1.38994e-23
475	-5.943	1.40667e-23
476	-5.94288	1.42387e-23
477	-5.94276	1.44153e-23
