0.157  0.98762  -0.15736  0.9877  -0.15636
0.158  0.98746  -0.15834  0.98754  -0.15734
0.159  0.98731  -0.15933  0.98739  -0.15833
0.16  0.98715  -0.16032  0.98723  -0.15932
0.161  0.98699  -0.16131  0.98707  -0.16031
0.162  0.98683  -0.16229  0.98691  -0.16129
0.163  0.98666  -0.16328  0.98674  -0.16228
0.164  0.9865  -0.16427  0.98658  -0.16327
0.165  0.98634  -0.16525  0.98642  -0.16425
0.166  0.98617  -0.16624  0.98625  -0.16524
0.167  0.986  -0.16722  0.98609  -0.16622
0.168  0.98584  -0.16821  0.98592  -0.16721
0.169  0.98567  -0.1692  0.98575  -0.1682
0.17  0.9855  -0.17018  0.98558  -0.16918
0.171  0.98533  -0.17117  0.98542  -0.17017
0.172  0.98516  -0.17215  0.98524  -0.17115
0.173  0.98499  -0.17314  0.98507  -0.17214
0.174  0.98481  -0.17412  0.9849  -0.17312
0.175  0.98464  -0.17511  0.98473  -0.17411
0.176  0.98446  -0.17609  0.98455  -0.17509
0.177  0.98429  -0.17708  0.98438  -0.17608
0.178  0.98411  -0.17806  0.9842  -0.17706
0.179  0.98393  -0.17905  0.98402  -0.17805
0.18  0.98375  -0.18003  0.98384  -0.17903
0.181  0.98357  -0.18101  0.98366  -0.18001
0.182  0.98339  -0.182  0.98348  -0.181
0.183  0.98321  -0.18298  0.9833  -0.18198
0.184  0.98303  -0.18396  0.98312  -0.18296
0.185  0.98284  -0.18495  0.98294  -0.18395
0.186  0.98266  -0.18593  0.98275  -0.18493
0.187  0.98247  -0.18691  0.98257  -0.18591
0.188  0.98229  -0.18789  0.98238  -0.18689
0.189  0.9821  -0.18888  0.98219  -0.18788
0.19  0.98191  -0.18986  0.982  -0.18886
0.191  0.98172  -0.19084  0.98181  -0.18984
0.192  0.98153  -0.19182  0.98162  -0.19082
0.193  0.98134  -0.1928  0.98143  -0.1918
0.194  0.98114  -0.19379  0.98124  -0.19279
0.195  0.98095  -0.19477  0.98105  -0.19377
0.196  0.98075  -0.19575  0.98085  -0.19475
0.197  0.98056  -0.19673  0.98066  -0.19573
0.198  0.98036  -0.19771  0.98046  -0.19671
0.199  0.98016  -0.19869  0.98026  -0.19769
0.2  0.97997  -0.19967  0.98007  -0.19867
0.201  0.97977  -0.20065  0.97987  -0.19965
0.202  0.97957  -0.20163  0.97967  -0.20063
0.203  0.97936  -0.20261  0.97947  -0.20161
0.204  0.97916  -0.20359  0.97926  -0.20259
0.205  0.97896  -0.20457  0.97906  -0.20357
0.206  0.97875  -0.20555  0.97886  -0.20455
0.207  0.97855  -0.20652  0.97865  -0.20552
0.208  0.97834  -0.2075  0.97845  -0.2065
0.209  0.97813  -0.20848  0.97824  -0.20748
0.21  0.97793  -0.20946  0.97803  -0.20846
0.211  0.97772  -0.21044  0.97782  -0.20944
0.212  0.97751  -0.21142  0.97761  -0.21042
0.213  0.97729  -0.21239  0.9774  -0.21139
0.214  0.97708  -0.21337  0.97719  -0.21237
0.215  0.97687  -0.21435  0.97698  -0.21335
0.216  0.97665  -0.21532  0.97676  -0.21432
0.217  0.97644  -0.2163  0.97655  -0.2153
0.218  0.97622  -0.21728  0.97633  -0.21628
0.219  0.976  -0.21825  0.97612  -0.21725
0.22  0.97579  -0.21923  0.9759  -0.21823
0.221  0.97557  -0.22021  0.97568  -0.21921
0.222  0.97535  -0.22118  0.97546  -0.22018
0.223  0.97513  -0.22216  0.97524  -0.22116
0.224  0.9749  -0.22313  0.97502  -0.22213
0.225  0.97468  -0.22411  0.97479  -0.22311
0.226  0.97446  -0.22508  0.97457  -0.22408
0.227  0.97423  -0.22606  0.97435  -0.22506
0.228  0.97401  -0.22703  0.97412  -0.22603
0.229  0.97378  -0.228  0.97389  -0.227
0.23  0.97355  -0.22898  0.97367  -0.22798
0.231  0.97332  -0.22995  0.97344  -0.22895
0.232  0.97309  -0.23092  0.97321  -0.22992
0.233  0.97286  -0.2319  0.97298  -0.2309
0.234  0.97263  -0.23287  0.97275  -0.23187
0.235  0.9724  -0.23384  0.97251  -0.23284
0.236  0.97216  -0.23482  0.97228  -0.23382
0.237  0.97193  -0.23579  0.97205  -0.23479
0.238  0.97169  -0.23676  0.97181  -0.23576
0.239  0.97145  -0.23773  0.97158  -0.23673
0.24  0.97122  -0.2387  0.97134  -0.2377
