# t  xE  yE  xM  yM  xA  yA
3.32  4.67082e+06  0  -3.79732e+08  0  0  0
3.33  4.67082e+06  0  -3.79732e+08  0  0  0
3.34  4.67082e+06  0  -3.79732e+08  0  0  0
3.35  4.67082e+06  0  -3.79732e+08  0  0  0
3.36  4.67082e+06  0  -3.79732e+08  0  0  0
3.37  4.67082e+06  0  -3.79732e+08  0  0  0
3.38  4.67082e+06  0  -3.79732e+08  0  0  0
3.39  4.67082e+06  0  -3.79732e+08  0  0  0
3.4  4.67082e+06  0  -3.79732e+08  0  0  0
3.41  4.67082e+06  0  -3.79732e+08  0  0  0
3.42  4.67082e+06  0  -3.79732e+08  0  0  0
3.43  4.67082e+06  0  -3.79732e+08  0  0  0
3.44  4.67082e+06  0  -3.79732e+08  0  0  0
3.45  4.67082e+06  0  -3.79732e+08  0  0  0
3.46  4.67082e+06  0  -3.79732e+08  0  0  0
3.47  4.67082e+06  0  -3.79732e+08  0  0  0
3.48  4.67082e+06  0  -3.79732e+08  0  0  0
3.49  4.67082e+06  0  -3.79732e+08  0  0  0
3.5  4.67082e+06  0  -3.79732e+08  0  0  0
3.51  4.67082e+06  0  -3.79732e+08  0  0  0
3.52  4.67082e+06  0  -3.79732e+08  0  0  0
3.53  4.67082e+06  0  -3.79732e+08  0  0  0
3.54  4.67082e+06  0  -3.79732e+08  0  0  0
3.55  4.67082e+06  0  -3.79732e+08  0  0  0
3.56  4.67082e+06  0  -3.79732e+08  0  0  0
3.57  4.67082e+06  0  -3.79732e+08  0  0  0
3.58  4.67082e+06  0  -3.79732e+08  0  0  0
3.59  4.67082e+06  0  -3.79732e+08  0  0  0
3.6  4.67082e+06  0  -3.79732e+08  0  0  0
3.61  4.67082e+06  0  -3.79732e+08  0  0  0
3.62  4.67082e+06  0  -3.79732e+08  0  0  0
3.63  4.67082e+06  0  -3.79732e+08  0  0  0
3.64  4.67082e+06  0  -3.79732e+08  0  0  0
3.65  4.67082e+06  0  -3.79732e+08  0  0  0
3.66  4.67082e+06  0  -3.79732e+08  0  0  0
3.67  4.67082e+06  0  -3.79732e+08  0  0  0
3.68  4.67082e+06  0  -3.79732e+08  0  0  0
3.69  4.67082e+06  0  -3.79732e+08  0  0  0
3.7  4.67082e+06  0  -3.79732e+08  0  0  0
3.71  4.67082e+06  0  -3.79732e+08  0  0  0
3.72  4.67082e+06  0  -3.79732e+08  0  0  0
3.73  4.67082e+06  0  -3.79732e+08  0  0  0
3.74  4.67082e+06  0  -3.79732e+08  0  0  0
3.75  4.67082e+06  0  -3.79732e+08  0  0  0
